100858962,0,115457908,0
106303028,0,115453984,0
106431917,0,115476905,0
108310346,0,115474002,0
109735848,0,115459214,0
114587562,0,303169859,0
115453984,0,106303028,0
115457908,0,100858962,0
115459214,0,109735848,0
115463000,0,115463312,0
115463312,0,115463000,0
115474002,0,108310346,0
115476905,0,106431917,0
200001740,1,200004263,3
200001740,1,200005095,3
200004263,3,200001740,1
200005095,3,200001740,1
200005887,1,200006364,2
200005887,1,200006364,3
200005887,1,202223205,1
200006364,2,200005887,1
200006364,3,200005887,1
200006364,4,200102454,1
200010608,1,202144284,1
200014987,1,200016141,1
200014987,1,200016141,2
200014987,1,201185216,2
200014987,1,201185443,2
200015620,3,200017671,7
200016141,1,200014987,1
200016141,2,200014987,1
200016751,1,200017671,8
200017671,7,200015620,3
200017671,8,200016751,1
200021490,5,201506126,1
200021490,6,201506126,1
200025099,2,200025282,4
200025282,4,200025099,2
200025520,1,200036944,1
200032330,1,200807498,1
200032330,1,200807498,2
200032330,1,200857473,5
200034519,1,200747453,1
200036944,1,200025520,1
200044487,2,200046894,1
200045684,1,200046894,1
200046364,1,200068067,1
200046894,1,200044487,2
200046894,1,200045684,1
200068067,1,200046364,1
200102454,1,200006364,4
200102454,1,202223205,3
200103508,2,201844706,1
200103508,5,201844706,2
200136442,1,200432196,8
200136442,1,202566205,3
200139141,2,201523540,2
200139141,2,201523735,3
200146807,2,200207121,1
200146807,2,201825504,1
200148520,0,200205842,0
200148520,0,200336695,0
200148520,0,200400216,0
200148520,0,201121234,0
200148520,0,202017645,0
200148520,0,202556312,0
200148520,0,202564041,0
200150288,3,200250934,5
200150288,3,200250934,6
200150288,3,201116005,2
200150288,3,201118424,6
200157250,3,200424428,1
200174383,2,200645784,3
200182701,1,200182842,2
200182701,2,200182842,2
200182842,2,200182701,1
200182842,2,200182701,2
200205842,0,200148520,0
200207121,1,200146807,2
200210719,2,200336695,1
200215374,3,201506126,1
200218750,1,200756561,3
200225784,1,200360813,1
200232411,1,202566813,1
200236701,1,200511636,1
200236701,2,200511636,1
200238079,2,202709699,1
200238771,4,200476756,1
200244241,2,200360813,1
200248463,1,201147220,2
200250934,5,200150288,3
200250934,6,200150288,3
200265036,1,200770443,2
200280188,1,200625295,8
200280188,1,201475740,3
200294851,1,200783852,4
200300940,1,202013810,2
200301298,1,200410768,1
200301298,1,200682754,3
200301298,1,200729401,4
200301298,1,200856759,3
200301298,1,201659298,5
200301298,1,202746472,3
200307619,1,200440693,4
200307945,1,200395488,2
200313660,3,202542369,4
200316863,1,202704256,1
200321823,1,202175742,1
200331293,1,200439630,2
200336695,0,200148520,0
200336695,1,200210719,2
200341990,1,200347909,2
200341990,1,200429831,1
200347909,2,200341990,1
200360813,1,200225784,1
200360813,1,200244241,2
200360813,1,200430783,1
200360813,1,200430783,2
200395488,2,200307945,1
200395488,2,202711820,1
200397581,3,200624598,2
200400216,0,200148520,0
200410768,1,200301298,1
200419643,1,202700152,5
200419643,1,202700152,6
200419643,1,202700152,7
200424428,1,200157250,3
200429831,1,200341990,1
200430783,1,200360813,1
200430783,2,200360813,1
200432196,3,200476756,1
200432196,8,200136442,1
200435744,1,202075507,2
200438878,1,201535635,3
200438878,2,201535635,2
200439630,2,200331293,1
200440693,4,200307619,1
200441442,2,202075907,2
200441442,2,202079394,5
200455859,1,201203202,4
200455859,1,201711973,2
200463171,3,202709699,3
200464913,1,202170392,4
200476087,1,200476756,1
200476756,1,200238771,4
200476756,1,200432196,3
200476756,1,200476087,1
200485279,3,200490126,2
200489418,6,201506126,1
200490126,2,200485279,3
200499249,3,202709699,1
200511636,1,200236701,1
200511636,1,200236701,2
200522785,1,201779518,1
200602697,5,201393391,1
200602697,6,200726632,2
200610286,3,201529710,3
200611772,7,200615284,2
200615284,2,200611772,7
200620680,2,202070325,1
200620680,4,201985763,2
200621966,3,200622293,2
200622293,2,200621966,3
200622293,2,201888085,2
200624598,2,200397581,3
200625295,8,200280188,1
200625908,1,200626657,5
200626657,5,200625908,1
200626657,5,200639334,4
200627460,2,202688586,2
200632829,1,200634281,1
200632829,1,200634790,2
200632829,1,201649681,1
200634281,1,200632829,1
200634790,2,200632829,1
200639334,3,200641737,7
200639334,4,200626657,5
200641737,6,200717743,9
200641737,7,200639334,3
200645342,1,202672637,3
200645784,3,200174383,2
200648055,3,201380717,1
200666696,3,202152556,1
200675069,1,201556643,1
200676926,1,200677360,1
200677360,1,200676926,1
200677360,1,200678729,2
200678729,2,200677360,1
200682184,1,201393391,3
200682444,1,201270436,4
200682444,2,201270436,1
200682579,1,201472231,2
200682579,2,201393391,1
200682754,3,200301298,1
200701314,2,202152556,1
200709167,2,202667815,1
200711803,3,201707171,1
200716732,3,201600670,1
200717743,9,200641737,6
200720670,2,201350575,1
200720670,3,201368530,1
200721033,1,202656796,2
200726632,2,200602697,6
200729401,4,200301298,1
200747453,1,200034519,1
200747642,2,202254361,1
200747642,5,201506911,1
200749964,1,201451980,1
200756561,3,200218750,1
200757941,1,201482062,2
200757941,1,202409758,2
200757941,1,202409758,3
200757941,1,202512604,1
200764792,1,200899869,2
200770443,2,200265036,1
200774189,1,201298841,1
200783852,4,200294851,1
200784955,1,200785214,1
200785214,1,200784955,1
