100043609,2,"disposition%1:04:00::"
100043902,1,"hit%1:04:03::"
100044150,1,"implementation%1:04:00::"
100044150,2,"effectuation%1:04:00::"
100044455,1,"egress%1:04:01::"
100044455,2,"egression%1:04:00::"
100044455,3,"emergence%1:04:00::"
100044673,1,"equalization%1:04:00::"
100044673,2,"equalisation%1:04:00::"
100044673,3,"leveling%1:04:00::"
100044900,1,"exhumation%1:04:00::"
100044900,2,"disinterment%1:04:00::"
100044900,3,"digging_up%1:04:00::"
100045114,1,"mitzvah%1:04:00::"
100045114,2,"mitsvah%1:04:00::"
100045250,1,"propulsion%1:04:00::"
100045250,2,"actuation%1:04:00::"
100045646,1,"rally%1:04:01::"
100045646,2,"rallying%1:04:01::"
100045907,1,"recovery%1:04:00::"
100045907,2,"retrieval%1:04:00::"
100046177,1,"running_away%1:04:00::"
100046344,1,"stunt%1:04:00::"
100046522,1,"touch%1:04:00::"
100046522,2,"touching%1:04:00::"
100047018,1,"tour_de_force%1:04:00::"
100047106,1,"performance%1:04:03::"
100047356,1,"overachievement%1:04:00::"
100047550,1,"underachievement%1:04:00::"
100047745,1,"record%1:04:01::"
100047745,2,"track_record%1:04:01::"
100047941,1,"fait_accompli%1:04:00::"
100047941,2,"accomplished_fact%1:04:00::"
100048051,1,"going%1:04:00::"
100048051,2,"sledding%1:04:01::"
100048225,1,"arrival%1:04:00::"
100048225,2,"reaching%1:04:00::"
100048374,1,"arrival%1:04:01::"
100048656,1,"attainment%1:04:01::"
100048828,1,"advent%1:04:00::"
100048828,2,"coming%1:04:01::"
100049003,1,"entrance%1:04:00::"
100049003,2,"entering%1:04:00::"
100049003,3,"entry%1:04:00::"
100049003,4,"ingress%1:04:00::"
100049003,5,"incoming%1:04:00::"
100049344,1,"incursion%1:04:01::"
100049530,1,"intrusion%1:04:02::"
100049636,1,"irruption%1:04:00::"
100049789,1,"entree%1:04:00::"
100049909,1,"entail%1:04:00::"
100050037,1,"registration%1:04:00::"
100050037,2,"enrollment%1:04:00::"
100050037,3,"enrolment%1:04:00::"
100050195,1,"appearance%1:04:00::"
100050484,1,"apparition%1:04:00::"
100050693,1,"emergence%1:04:01::"
100050693,2,"emersion%1:04:01::"
100050887,1,"reappearance%1:04:00::"
100050887,2,"return%1:04:07::"
100051077,1,"comeback%1:04:00::"
100051192,1,"return%1:04:01::"
100051192,2,"homecoming%1:04:00::"
100051385,1,"repatriation%1:04:00::"
100051525,1,"penetration%1:04:02::"
100051712,1,"interpenetration%1:04:00::"
100051712,2,"permeation%1:04:00::"
100051897,1,"market_penetration%1:04:00::"
100052052,1,"anchorage%1:04:00::"
100052146,1,"docking%1:04:00::"
100052146,2,"moorage%1:04:00::"
100052146,3,"dockage%1:04:00::"
100052146,4,"tying_up%1:04:00::"
100052334,1,"landing%1:04:00::"
100052500,1,"landing%1:04:01::"
100052791,1,"forced_landing%1:04:00::"
100052791,2,"emergency_landing%1:04:01::"
100053020,1,"breaking_away%1:04:00::"
100053097,1,"farewell%1:04:00::"
100053097,2,"leave%1:04:00::"
100053097,3,"leave-taking%1:04:00::"
100053097,4,"parting%1:04:00::"
100053405,1,"french_leave%1:04:00::"
100053525,1,"valediction%1:04:00::"
100053609,1,"disappearance%1:04:00::"
100053609,2,"disappearing%1:04:00::"
100053806,1,"vanishing%1:04:00::"
100053913,1,"withdrawal%1:04:00::"
100054328,1,"effacement%1:04:00::"
100054328,2,"self-effacement%1:04:00::"
100054483,1,"retreat%1:04:02::"
100054652,1,"retirement%1:04:01::"
100054652,2,"retreat%1:04:01::"
100054821,1,"evacuation%1:04:01::"
100055038,1,"medical_evacuation%1:04:00::"
100055038,2,"medevac%1:04:00::"
100055038,3,"medivac%1:04:00::"
100055227,1,"decampment%1:04:00::"
100055315,1,"desertion%1:04:00::"
100055315,2,"abandonment%1:04:01::"
100055315,3,"defection%1:04:00::"
100055633,1,"abscondment%1:04:00::"
100055633,2,"decampment%1:04:01::"
100055793,1,"absence_without_leave%1:04:00::"
100055793,2,"unauthorized_absence%1:04:00::"
100055932,1,"deviationism%1:04:00::"
100056087,1,"emigration%1:04:00::"
100056087,2,"out-migration%1:04:00::"
100056087,3,"expatriation%1:04:01::"
100056311,1,"immigration%1:04:00::"
100056311,2,"in-migration%1:04:00::"
100056551,1,"aliyah%1:04:00::"
100056688,1,"pullback%1:04:00::"
100056912,1,"retreat%1:04:00::"
100057162,1,"standdown%1:04:00::"
100057162,2,"stand-down%1:04:00::"
100057306,1,"disengagement%1:04:00::"
100057306,2,"fallback%1:04:00::"
100057306,3,"pullout%1:04:00::"
100057486,1,"receding%1:04:00::"
100057486,2,"recession%1:04:00::"
100057657,1,"sailing%1:04:02::"
100057748,1,"amphibious_landing%1:04:00::"
100058002,1,"debarkation%1:04:00::"
100058002,2,"disembarkation%1:04:00::"
100058002,3,"disembarkment%1:04:00::"
100058247,1,"going_ashore%1:04:00::"
100058337,1,"boarding%1:04:00::"
100058337,2,"embarkation%1:04:00::"
100058337,3,"embarkment%1:04:00::"
100058519,1,"exit%1:04:00::"
100058608,1,"elopement%1:04:00::"
100058743,1,"escape%1:04:00::"
100058743,2,"flight%1:04:01::"
100059127,1,"evasion%1:04:00::"
100059376,1,"slip%1:04:03::"
100059376,2,"elusion%1:04:00::"
100059376,3,"eluding%1:04:00::"
100059552,1,"maneuver%1:04:01::"
100059552,2,"manoeuvre%1:04:01::"
100059552,3,"evasive_action%1:04:00::"
100059728,1,"clinch%1:04:00::"
100059895,1,"dodge%1:04:00::"
100059989,1,"break%1:04:04::"
100059989,2,"breakout%1:04:00::"
100059989,3,"jailbreak%1:04:00::"
100059989,4,"gaolbreak%1:04:00::"
100059989,5,"prisonbreak%1:04:00::"
100059989,6,"prison-breaking%1:04:00::"
100060201,1,"getaway%1:04:00::"
100060201,2,"lam%1:04:00::"
100060414,1,"exodus%1:04:00::"
100060414,2,"hegira%1:04:00::"
100060414,3,"hejira%1:04:00::"
100060548,1,"hegira%1:04:01::"
100060548,2,"hejira%1:04:01::"
100060747,1,"skedaddle%1:04:00::"
100060817,1,"underground_railroad%1:04:00::"
100060817,2,"underground_railway%1:04:00::"
100061014,1,"close_call%1:04:00::"
100061014,2,"close_shave%1:04:00::"
100061014,3,"squeak%1:04:00::"
100061014,4,"squeaker%1:04:00::"
100061014,5,"narrow_escape%1:04:00::"
100061171,1,"surfacing%1:04:00::"
100061290,1,"dispatch%1:04:00::"
100061290,2,"despatch%1:04:00::"
100061290,3,"shipment%1:04:00::"
100061453,1,"reshipment%1:04:00::"
100061598,1,"consummation%1:04:00::"
100061792,1,"consummation%1:04:01::"
100061917,1,"realization%1:04:02::"
100061917,2,"realisation%1:04:02::"
100061917,3,"fruition%1:04:00::"
100062133,1,"orgasm%1:04:00::"
100062133,2,"climax%1:04:00::"
100062133,3,"sexual_climax%1:04:00::"
100062133,4,"coming%1:04:00::"
100062331,1,"male_orgasm%1:04:00::"
100062451,1,"fulfillment%1:04:00::"
100062451,2,"fulfilment%1:04:00::"
100062671,1,"self-fulfillment%1:04:00::"
100062671,2,"self-realization%1:04:00::"
100062671,3,"self-realisation%1:04:00::"
100062806,1,"attainment%1:04:00::"
100063014,1,"record%1:04:00::"
100063310,1,"track_record%1:04:00::"
100063559,1,"world_record%1:04:00::"
100063652,1,"success%1:04:00::"
100064018,1,"winning%1:04:00::"
100064151,1,"blockbuster%1:04:00::"
100064151,2,"megahit%1:04:00::"
100064151,3,"smash_hit%1:04:00::"
100064370,1,"sleeper%1:04:00::"
100064504,1,"hit%1:04:02::"
100064504,2,"smash%1:04:01::"
100064504,3,"smasher%1:04:00::"
100064504,4,"strike%1:04:03::"
100064504,5,"bang%1:04:00::"
100064789,1,"bell_ringer%1:04:00::"
100064789,2,"bull's_eye%1:04:01::"
100064789,3,"mark%1:04:01::"
100064789,4,"home_run%1:04:01::"
100065098,1,"ennoblement%1:04:00::"
100065216,1,"conquest%1:04:00::"
100065336,1,"coup%1:04:01::"
100065418,1,"flying_colors%1:04:00::"
100065418,2,"flying_colours%1:04:00::"
100065575,1,"passing%1:04:02::"
100065575,2,"pass%1:04:05::"
100065575,3,"qualifying%1:04:00::"
100065855,1,"credit%1:04:00::"
100065855,2,"course_credit%1:04:00::"
100066075,1,"semester_hour%1:04:00::"
100066075,2,"credit_hour%1:04:00::"
100066216,1,"nonaccomplishment%1:04:00::"
100066216,2,"nonachievement%1:04:00::"
100066397,1,"failure%1:04:01::"
100066636,1,"failure%1:04:00::"
100066901,1,"failing%1:04:00::"
100066901,2,"flunk%1:04:00::"
100067153,1,"naught%1:04:00::"
100067254,1,"cut%1:04:06::"
100067397,1,"default%1:04:00::"
100067526,1,"loss%1:04:00::"
100067707,1,"capitulation%1:04:00::"
100067707,2,"fall%1:04:02::"
100067707,3,"surrender%1:04:00::"
