200001740,0,2
200001740,0,8
200002361,0,2
200002609,0,2
200002760,0,2
200002978,0,2
200003169,0,9
200003352,0,8
200003479,0,2
200003698,0,8
200003698,0,11
200003862,0,2
200004068,0,2
200004263,0,2
200004263,0,8
200004546,0,8
200004659,0,8
200004659,0,11
200004873,0,2
200005095,0,2
200005095,0,8
200005598,0,2
200005887,0,2
200005887,0,8
200006226,0,2
200006364,0,2
200006703,0,2
200006877,0,2
200006982,0,2
200007192,0,2
200007373,0,8
200007508,0,2
200007729,0,2
200007919,0,2
200008235,0,2
200008375,0,8
200008479,0,22
200008615,0,8
200008775,0,2
200008972,0,2
200009150,0,2
200009320,0,1
200009665,0,1
200009804,0,2
200009804,0,23
200010057,0,1
200010227,0,2
200010227,0,23
200010414,0,2
200010608,0,2
200010608,0,7
200011606,0,2
200011796,0,2
200011943,0,2
200012097,0,2
200012227,0,2
200012382,0,2
200012512,0,9
200012679,0,2
200012858,0,2
200012998,0,2
200013099,0,2
200013189,0,2
200013417,0,2
200013573,0,8
200013860,0,9
200014103,0,2
200014279,0,1
200014279,0,2
200014446,0,1
200014446,0,2
200014650,0,2
200014794,0,2
200014987,0,2
200015480,0,2
200015620,0,2
200015833,0,2
200016048,0,2
200016141,0,2
200016317,0,1
200016554,0,1
200016751,0,2
200016962,0,1
200016962,0,2
200017091,0,1
200017091,0,2
200017244,0,2
200017420,0,2
200017671,0,2
200017956,0,2
200017956,0,22
200018099,0,2
200018099,0,22
200018290,0,2
200018583,0,2
200018830,0,9
200018830,0,10
200018951,0,2
200019238,0,9
200019238,0,10
200019607,0,9
200019607,0,10
200019698,0,9
200019698,0,10
200019873,0,8
200019873,0,9
200019873,0,10
200019873,0,11
200020217,0,11
200020407,0,11
200020558,0,2
200020684,0,2
200020874,0,9
200020874,0,10
200021096,0,9
200021096,0,10
200021351,0,9
200021351,0,10
200021490,0,8
200021490,0,9
200021490,0,10
200022015,0,9
200022015,0,10
200022140,0,9
200022140,0,10
200022287,0,9
200022458,0,9
200022560,0,9
200022560,0,10
200022766,0,9
200023136,0,2
200023136,0,8
200023136,0,9
200023136,0,10
200023136,0,11
200023694,0,10
200023830,0,10
200023923,0,2
200024096,0,2
200024318,0,2
200024497,0,2
200024729,0,9
200024729,0,10
200025099,0,9
200025099,0,10
200025282,0,1
200025282,0,2
200025520,0,2
200025732,0,8
200025732,0,10
200026039,0,8
200026183,0,8
200026183,0,9
200026183,0,10
200026514,0,8
200026682,0,1
