100046387,1,"rally",n,2,1
100046387,2,"rallying",n,2,0
100046648,1,"recovery",n,3,2
100046648,2,"retrieval",n,3,0
100046918,1,"running away",n,1,0
100047085,1,"stunt",n,1,2
100047263,1,"touch",n,5,2
100047263,2,"touching",n,2,0
100047759,1,"tour de force",n,1,1
100047847,1,"performance",n,4,2
100048097,1,"overachievement",n,1,2
100048291,1,"underachievement",n,1,3
100048486,1,"record",n,4,6
100048486,2,"track record",n,2,0
100048682,1,"fait accompli",n,1,0
100048682,2,"accomplished fact",n,1,0
100048792,1,"going",n,3,0
100048792,2,"sledding",n,2,0
100048966,1,"arrival",n,1,4
100048966,2,"reaching",n,2,0
100049115,1,"arrival",n,2,3
100049397,1,"attainment",n,2,1
100049569,1,"advent",n,1,1
100049569,2,"coming",n,2,2
100049744,1,"entrance",n,3,3
100049744,2,"entering",n,2,0
100049744,3,"entry",n,6,0
100049744,4,"ingress",n,2,0
100049744,5,"incoming",n,1,0
100050103,1,"incursion",n,1,1
100050289,1,"intrusion",n,2,1
100050395,1,"irruption",n,1,1
100050548,1,"entree",n,4,0
100050729,1,"entail",n,2,0
100050857,1,"registration",n,1,7
100050857,2,"enrollment",n,1,1
100050857,3,"enrolment",n,1,0
100051015,1,"appearance",n,5,1
100051304,1,"apparition",n,4,0
100051513,1,"emergence",n,3,0
100051513,2,"emersion",n,2,0
100051707,1,"reappearance",n,2,0
100051707,2,"return",n,13,0
100051897,1,"comeback",n,2,0
100052012,1,"return",n,2,6
100052012,2,"homecoming",n,2,0
100052205,1,"repatriation",n,1,0
100052345,1,"penetration",n,3,1
100052532,1,"interpenetration",n,2,0
100052532,2,"permeation",n,2,0
100052717,1,"market penetration",n,1,0
100052872,1,"anchorage",n,5,0
100052966,1,"docking",n,1,0
100052966,2,"moorage",n,3,0
100052966,3,"dockage",n,3,0
100052966,4,"tying up",n,1,0
100053154,1,"landing",n,4,0
100053320,1,"landing",n,3,0
100053611,1,"forced landing",n,1,0
100053611,2,"emergency landing",n,1,0
100053840,1,"breaking away",n,2,0
100053917,1,"farewell",n,2,0
100053917,2,"leave",n,3,0
100053917,3,"leave-taking",n,1,0
100053917,4,"parting",n,1,2
100054225,1,"French leave",n,1,0
100054345,1,"valediction",n,2,0
100054429,1,"disappearance",n,1,4
100054429,2,"disappearing",n,1,0
100054626,1,"vanishing",n,2,0
100054733,1,"withdrawal",n,3,1
100055148,1,"effacement",n,2,0
100055148,2,"self-effacement",n,1,1
100055303,1,"retreat",n,7,0
100055472,1,"retirement",n,3,0
100055472,2,"retreat",n,6,0
100055641,1,"evacuation",n,2,1
100055858,1,"medical evacuation",n,1,0
100055858,2,"medevac",n,1,0
100055858,3,"medivac",n,1,0
100056047,1,"decampment",n,2,0
100056135,1,"desertion",n,1,2
100056135,2,"abandonment",n,2,1
100056135,3,"defection",n,1,1
100056453,1,"abscondment",n,1,0
100056453,2,"decampment",n,1,0
100056613,1,"absence without leave",n,1,0
100056613,2,"unauthorized absence",n,1,0
100056752,1,"deviationism",n,1,0
100056907,1,"emigration",n,1,1
100056907,2,"out-migration",n,1,0
100056907,3,"expatriation",n,2,0
100057131,1,"immigration",n,1,1
100057131,2,"in-migration",n,1,0
100057371,1,"aliyah",n,2,0
100057508,1,"pullback",n,2,0
100057732,1,"retreat",n,1,3
100057982,1,"standdown",n,2,0
100057982,2,"stand-down",n,2,0
100058126,1,"disengagement",n,2,0
100058126,2,"fallback",n,1,0
100058126,3,"pullout",n,1,0
100058306,1,"receding",n,2,0
100058306,2,"recession",n,5,0
100058477,1,"sailing",n,3,1
100058568,1,"amphibious landing",n,1,0
100058822,1,"debarkation",n,1,0
100058822,2,"disembarkation",n,1,0
100058822,3,"disembarkment",n,1,0
100059067,1,"going ashore",n,1,0
100059157,1,"boarding",n,1,2
100059157,2,"embarkation",n,1,0
100059157,3,"embarkment",n,1,0
100059339,1,"exit",n,3,0
100059428,1,"elopement",n,1,0
100059563,1,"escape",n,1,6
100059563,2,"flight",n,4,5
100059947,1,"evasion",n,4,0
100060196,1,"slip",n,15,0
100060196,2,"elusion",n,1,0
100060196,3,"eluding",n,1,0
100060372,1,"maneuver",n,5,0
100060372,2,"manoeuvre",n,5,0
100060372,3,"evasive action",n,1,0
100060548,1,"clinch",n,1,1
100060715,1,"dodge",n,2,1
100060809,1,"break",n,16,0
100060809,2,"breakout",n,1,0
100060809,3,"jailbreak",n,1,0
100060809,4,"gaolbreak",n,1,0
100060809,5,"prisonbreak",n,1,0
100060809,6,"prison-breaking",n,1,0
100061021,1,"getaway",n,2,0
100061021,2,"lam",n,1,0
100061234,1,"exodus",n,1,1
100061234,2,"hegira",n,2,0
100061234,3,"hejira",n,2,0
100061368,1,"Hegira",n,1,0
100061368,2,"Hejira",n,1,0
100061567,1,"skedaddle",n,1,0
100061637,1,"Underground Railroad",n,1,0
100061637,2,"Underground Railway",n,1,0
100061834,1,"close call",n,1,0
100061834,2,"close shave",n,1,0
100061834,3,"squeak",n,2,0
100061834,4,"squeaker",n,2,0
100061834,5,"narrow escape",n,1,1
100061991,1,"surfacing",n,1,0
100062110,1,"dispatch",n,2,1
100062110,2,"despatch",n,4,0
100062110,3,"shipment",n,2,3
100062273,1,"reshipment",n,1,0
100062418,1,"consummation",n,2,0
100062612,1,"consummation",n,1,0
100062737,1,"realization",n,6,0
100062737,2,"realisation",n,6,0
100062737,3,"fruition",n,3,0
100062953,1,"orgasm",n,1,0
100062953,2,"climax",n,3,1
100062953,3,"sexual climax",n,1,0
100062953,4,"coming",n,4,0
100063151,1,"male orgasm",n,1,0
100063271,1,"fulfillment",n,2,2
100063271,2,"fulfilment",n,2,0
100063491,1,"self-fulfillment",n,1,0
100063491,2,"self-realization",n,1,0
100063491,3,"self-realisation",n,1,0
100063626,1,"attainment",n,1,1
100063834,1,"record",n,6,3
100064130,1,"track record",n,1,0
100064379,1,"world record",n,1,2
100064472,1,"success",n,2,23
100064838,1,"winning",n,1,1
100064971,1,"blockbuster",n,2,0
100064971,2,"megahit",n,1,0
100064971,3,"smash hit",n,1,0
100065190,1,"sleeper",n,9,0
100065324,1,"hit",n,3,1
100065324,2,"smash",n,5,0
100065324,3,"smasher",n,3,0
100065324,4,"strike",n,6,0
100065324,5,"bang",n,5,0
100065609,1,"bell ringer",n,3,0
100065609,2,"bull's eye",n,3,1
100065609,3,"mark",n,15,0
100065609,4,"home run",n,2,0
100065918,1,"ennoblement",n,2,0
100066036,1,"conquest",n,2,1
100066156,1,"coup",n,2,1
100066238,1,"flying colors",n,1,0
100066238,2,"flying colours",n,1,0
100066395,1,"passing",n,7,0
100066395,2,"pass",n,16,0
100066395,3,"qualifying",n,2,0
100066675,1,"credit",n,6,1
100066675,2,"course credit",n,1,0
100066895,1,"semester hour",n,1,3
100066895,2,"credit hour",n,1,0
100067036,1,"nonaccomplishment",n,1,0
100067036,2,"nonachievement",n,1,0
100067217,1,"failure",n,5,1
100067456,1,"failure",n,1,18
100067721,1,"failing",n,2,0
100067721,2,"flunk",n,1,0
100067973,1,"naught",n,2,0
100068074,1,"cut",n,20,0
100068217,1,"default",n,1,1
100068346,1,"loss",n,3,6
100068527,1,"capitulation",n,3,0
100068527,2,"fall",n,8,1
100068527,3,"surrender",n,4,0
100068810,1,"frustration",n,2,1
100068810,2,"thwarting",n,1,0
100068810,3,"foiling",n,1,0
100068990,1,"overturn",n,2,0
100068990,2,"upset",n,6,0
100069153,1,"backsliding",n,1,0
100069153,2,"lapse",n,3,1
100069153,3,"lapsing",n,1,0
100069153,4,"relapse",n,1,0
100069153,5,"relapsing",n,1,0
100069153,6,"reversion",n,6,0
100069153,7,"reverting",n,1,0
100069437,1,"recidivism",n,1,0
100069575,1,"disappointment",n,2,1
