300014302,2,ip
300019694,2,p
300020066,1,a
300020372,4,p
300022399,1,a
300024622,1,p
300024622,2,p
300025166,1,p
300027867,1,a
300028465,1,a
300032352,1,p
300032352,2,p
300033353,1,p
300036157,1,a
300051497,1,p
300051497,3,p
300051497,4,p
300052156,2,p
300052156,3,p
300052390,3,p
300067892,1,p
300067892,2,p
300068151,1,p
300071654,1,p
300072948,1,p
300076261,2,a
300077444,1,p
300077582,1,p
300077972,1,p
300078168,1,p
300078968,1,p
300078968,2,p
300079081,1,p
300082056,1,p
300095195,1,p
300096620,1,p
300096620,2,p
300096620,3,p
300098421,1,a
300100319,1,a
300100827,2,p
300101119,1,p
300105193,2,a
300105485,2,a
300107512,1,a
300107819,1,a
300108558,2,a
300108835,2,a
300112294,1,a
300115784,1,p
300117153,1,p
300122782,2,a
300124201,1,a
300126427,1,a
300126951,1,a
300127853,1,a
300128012,1,a
300128549,1,a
300132636,1,a
300132636,2,a
300132636,3,a
300154035,1,a
300155036,1,p
300163807,2,p
300163807,3,p
300166916,3,a
300171105,1,a
300171305,1,a
300173321,1,p
300174540,1,p
300174540,5,p
300174540,6,p
300174540,7,p
300174540,8,p
300183092,1,a
300185731,1,p
300185980,1,a
300186106,1,p
300186348,1,p
300186551,1,p
300186947,1,a
300187399,1,p
300187866,1,p
300187992,1,p
300188301,1,p
300188301,2,p
300189112,1,p
300189434,1,a
300189531,2,a
300189830,2,a
300190132,1,p
300190132,2,p
300191509,1,p
300192047,2,p
300192047,3,p
300192354,1,p
300193438,1,p
300193438,2,p
300193839,1,p
300195324,4,a
300199045,1,a
300199360,1,a
300199360,2,a
300199616,1,a
300199852,1,a
300199852,2,a
300199852,3,p
300203879,1,a
300204145,1,ip
300204591,1,a
300204963,1,ip
300204963,2,ip
300218765,1,a
300218896,1,a
300218896,2,a
300229971,1,a
300229971,2,a
300231675,2,a
300233852,1,a
300256114,1,ip
300266570,1,a
300271347,1,p
300272920,1,a
300276337,2,a
300280183,1,p
300280487,1,p
300281944,1,p
300284511,1,a
300285747,1,a
300286854,3,a
300291560,3,a
300294215,1,p
300294849,1,p
300298698,2,a
300298698,3,a
300298840,2,a
300305331,2,a
300305546,1,a
300308654,1,p
300309348,2,p
300311904,1,a
300312047,1,p
300313094,3,a
300314660,1,a
300314660,2,a
300315425,2,a
300315518,1,a
300315598,1,a
300316213,1,a
300323898,1,a
300323898,2,a
300324386,2,a
300325155,1,a
300325155,2,a
300325441,1,a
300325640,1,a
300325838,2,p
300327568,5,a
300331466,1,a
300331466,3,a
300333051,1,a
300333051,2,a
300334571,3,a
300335205,2,a
300335662,1,a
300335662,2,a
300335812,2,a
300336050,1,a
300336050,2,a
300336381,1,p
300337791,1,p
300338132,1,p
300338132,2,p
300338132,3,p
300341586,1,p
300342252,1,p
300346144,4,a
300347507,1,a
300356691,1,p
300358839,1,a
300364080,2,a
300395343,2,p
300438267,4,p
300446180,1,p
300446180,2,a
300446376,1,a
300449429,3,p
300450087,2,p
300450271,1,p
300450271,2,p
300450601,1,p
300450601,2,p
300450881,1,a
300450881,2,p
300451289,1,a
300451289,2,a
300451482,1,a
300452359,1,a
300452359,2,a
300453111,1,p
300454070,3,p
300457762,1,p
300457762,3,p
300457762,4,p
300459936,2,p
300467844,3,a
300470263,1,a
300472176,1,p
300477200,1,p
300477200,2,p
300477200,3,p
300477200,4,p
300477200,5,p
300477200,6,p
300482331,2,p
300485706,3,a
300490089,1,a
300490089,3,a
300490599,1,a
300490599,2,a
300491397,4,a
300492556,1,p
300496376,1,a
300496376,2,a
300496376,3,a
300498226,3,a
300498226,4,a
300500128,2,a
300500128,4,a
300506006,1,p
300506985,3,a
300506985,4,a
300507428,1,p
300515427,1,a
300519205,1,a
300520632,1,a
300521128,1,p
300522561,3,a
300522561,4,a
300522561,6,a
300524139,1,a
300526391,1,a
300528017,5,a
300528496,1,a
300528496,2,a
300530042,1,a
300533871,2,a
300534544,2,p
300541381,1,a
300543452,2,a
300543815,1,a
300546470,4,p
300554341,1,a
300554644,1,a
300555504,2,a
300556124,1,p
300557885,2,p
300557885,3,p
300557885,4,p
300557885,5,p
300557885,6,p
300557885,7,p
300557885,8,p
300558913,2,a
300558913,3,a
300560983,2,p
300564980,3,p
300568431,4,a
300569948,1,p
300574814,1,p
300574814,4,p
300577059,2,a
300579580,1,p
300580409,1,p
300582214,1,a
300595225,1,a
300601946,2,p
300605672,1,p
300614820,2,a
300615417,1,a
300624938,1,a
300640283,1,a
300641198,1,p
300643480,4,p
300648937,4,a
300652048,1,a
300652712,1,a
300667949,4,a
300669872,1,p
300670048,1,a
300670167,2,a
300671024,1,a
300671917,1,a
300673531,1,p
300673531,2,p
300679058,1,a
300679058,2,a
300679223,1,a
300683732,1,a
300685843,1,a
300687881,1,a
300687881,4,a
300689429,1,p
300689963,3,a
300691147,1,a
300691147,2,a
300691369,1,a
300692288,1,p
300694570,1,a
300704145,1,a
300705903,1,a
300706876,6,p
300714002,1,a
300714002,2,p
300723791,2,a
300725633,2,a
300726642,2,p
300733479,2,a
300736648,2,p
300738158,3,p
300738555,2,p
300739242,1,p
300739242,2,p
300739242,3,a
300740875,1,p
300751992,1,a
300756049,1,p
300759095,1,a
300763202,1,a
300765542,1,a
300766781,1,a
300766781,3,a
300769493,1,a
300780114,1,p
300789435,2,p
300796830,1,a
300797086,1,a
300808609,1,p
300814741,1,p
300814741,2,p
300815029,1,p
300815029,2,p
300817408,1,a
300817408,2,p
300818719,1,p
300819078,1,a
300819816,1,a
300822727,2,a
300823018,1,a
300836246,3,p
300836246,4,p
300836480,2,p
300836480,3,a
300852360,1,p
300858449,1,p
300867601,1,a
300867601,2,p
300869443,1,p
300872951,1,p
300872951,2,p
300872951,4,p
300884629,1,a
300891446,1,p
300891446,2,p
300891446,3,p
300891724,2,a
300893598,2,p
300895464,1,p
300895464,3,p
300904447,1,a
300904447,3,a
300904649,1,a
300904752,1,a
300905237,1,a
300913584,1,p
300929648,2,p
300929648,3,p
300930516,2,p
300932957,2,p
300933058,1,p
300933907,5,p
300934476,1,p
300934565,1,a
300936586,1,a
300936586,2,a
300936770,2,p
300937909,1,a
300938430,1,a
300939694,2,a
300945111,1,p
300952633,1,a
300953359,1,a
300955722,1,a
300955830,1,a
300956282,1,a
300960812,1,a
300962311,4,a
300963923,1,p
